comment,rate_class
最開始的簡介是什麼知識無用，被人噴慘了。現在換了個新的簡介。這是一個改進的地方。至於內容，劇毒。其實這本書也有好的地方，但架不住作者一直玩命的給讀者下毒，而且給人的感覺不是因為寫作功力啊什麼的客觀原因寫成這樣，就是誠心誠意為了噁心人才這麼寫的。作者的某些情節體現的思維方式說好聽叫不成熟，說不好聽叫跟正常人不一樣。人的時間這麼寶貴，幹點什麼不好啊，不要看這個耽誤時間了。,negative
說真話，除了情節內容劇毒其它都湊合，但是整本書跟終結學霸屁關係沒有。所謂高科技文一點科技含量沒有，所有技術全是上輩子別人研究完的垃圾，連個關係網都沒搞起來還敢賺那麼多錢！劇毒沒問題吧。,negative
又嘗試看了下，還是看不下去。。<br>一個有著金大象的重生者搞了半天，就只是把前輩們走過的路再走一遍順便把前輩們打垮，這也就算了，你特麼還是失憶的……<br>這麼屌你為什麼重生前還只是一個被360搶飯碗的手機驅動工程師？,negative
居然還有人宣傳讀書無用論的，笑死,negative
看了，總感覺作者寫的不對味，感情戲就不說了，開始的高中生活就有兩個N……女同學，打臉裝逼情節過度生硬，看著就想吐。<br>和那些老一輩說話基本都扯點古文顯示自己經歷豐富。。。。像是李彥宏叫主角年輕人，然後扯了一通虛頭巴腦的東西。。問題是人家李彥宏那時候也就35歲，哪裡來的那個閒心叫一個18歲的小夥子年輕人。。。<br>又說創業，因為第一個做的輸入法，得罪了一個富二代和百度，輸入法被富二代收購了，然後主角想繼續重新做輸入法，開始組建公司，奇葩的事來了，主角說不想被敵對方發現這個公司是他的，因此用他高二的表妹做法人代表，因為好控制，然後創建了公司，公司名字和剛做輸入法時候創建的下載用網頁一個名字。。。。。,negative
看了一百多章，只能說，邏輯不自恰，合理黨的毒草。第一，民族政策沒有那麼玄乎，第二木蟾蜍和肉蟾蜍分別好大好嗎？飛機安檢就呵呵了。而且沒有四川飛美國的直達的。第三，美國的交易不是雙方簽字就生效的，需要雙方律師在場或者公正生效的。第四，原農場主無故失蹤，不可能這麼風平浪靜的。第五，宰殺沒有那麼貴的，150美元宰殺一頭牛，想錢想瘋了嗎？那是雇傭屠宰場幫忙宰殺的價格。第六下水處理不是說的不賺錢的，傻子才認為不賺錢還要花去80%利潤處理。第八美國法院不是你說的那麼簡單，雖然是社區法院。第九，科莫多巨蜥五米長那是到尾巴尖，而且五米的就算很大了，福特探險者你往哪裝籠子？第十，隱形不代表虛幻了，還放車頂上，不重,negative
不覺得屁股有問題，畢竟作者沒有去過美國，相關內容從電視劇遊記科普瞭解，寫的難免有有差。<br>讓我受不了的是跪女，嘴上說著無情等價交換。<br>但救了一女的，日後相遇這女的無理取鬧的糾纏，調查不說，出事情讓男主出庭作證男主不肯就威脅？？？？然後男主同意了，沒錯，同意了！！！！之後這女人朋友的弟弟去亞馬遜有危險聯繫不上，這個富家女mb的也去湊熱鬧，說要救人？？？？？？？還硬要男主陪去救人，男主居然tmd同意了？？？？？？？？？真是噁心的要死<br>相關內容還多的數不勝數，簡直跪舔的噁心要死,negative
"這書我沒看，只是看<a href=""/name/紈絝邪皇"" target='_blank'>《紈絝邪皇》</a>最後一章末尾的作者吐槽。身為作者，竟然讓讀者去創造新詞彙來“給我們用用”，還什麼“問題是漢語詞彙有限”。好大言不慚！明明是自己讀書不夠竟敢嫌棄書少！學識少可以理解、寫速食商業文不是錯、遇事習慣性推諉責任也是常人之情，但是，這番我文盲我有理的嘴臉令人生厭~所以，今後此作者的書，見一本黑一本！",negative
劇毒，掛著學霸的招牌寫著女頻的狗血言情文。整本書的劇情是重生的男主為了上輩子和她分手的女主跪舔來跪舔去，終於成功開了一家Mp3公司，以為是成功人士了，結果還是被女主給分了。其中高科技發展部分描寫只占篇幅1/10，其他都是跪舔女主的描寫和低級打臉的劇情。低級到什麼程度呢？車行經理的兒子猥褻男豬的曖昧女伴，男豬一怒之下拿出黑卡買了一輛最貴的車，在精神上狠狠的打擊了對方。而且女主也相當不討喜，整一個花瓶，男豬成功時候沒她的影子，低谷的時候也沒她，整天都是自己的細膩小心思，最後和男主分手原因竟然是距離太近，想靜靜。最後總結一下，這個作者一直撲街不是沒原因的，別人寫書給讀者看，他是自嗨。,negative
我看這本的時候，很不不懂什麼東方西方，修真魔幻之類的設定，還是個小白，對唐三東西方不分這個在我看來毒的不能再毒的毒點根本都不在意，就是瞎看。當時認為，這唐三太有才了，百度百科都能搜到這人，好厲害啊，因為這個原因，我又去看了了光之子等書，只要是是唐三寫的，當時都想看。結果，沒想到在讀這些書的過程中，慢慢漲了見識，脫離了小白的行列，覺得唐三的書一本不如一本，當我看到冰火魔廚的時候，已經被唐三毒翻了。在這，我還要感謝唐三，是他告訴了我，我以前是個小白，看過的大部分書都是垃圾，網文裡面最底層的那種書，有一些作者，只寫這種垃圾賺小白的錢。,negative
毒草<br>龍空你們這堆人刷分吧....這書能有7分?不就日本輕小說套路嗎?超級無聊且智障,negative
只能說死宅真噁心,negative
女裝沒什麼 但是一直各種水女裝 穿女裝就莫名噁心了。,negative
感覺作者還能拿女裝曖昧水個2000章，然後主角依然是個處男，因為被周圍的變態女威脅女裝太多次而導致彎了。不停女裝曖昧不斷又不給肉吃，這主角是個正常的不陽痿的高中生，你信嗎。作者→_→劇情？主線？推女╭(╯ε╰)╮那是什麼？不需要。只要主角女裝就好。,negative
喪失，非常大喪失，喜歡汙的朋友可以一觀！但是這書被迫太監了，原因是作者寫這書被他母上大人發現了，不太監不足以體現母上的威嚴啊,negative
講真的，60章前我覺的找到了本仙草，作者很用心的給角色找畫師出插圖。結果作者突然開始給男主玩女裝，一次不行還玩兩次，男主嘴上不要卻毫無底線的穿女裝出門，美其名曰答應了妹妹。這妹妹讓哥哥穿女裝出門見人，還女裝狀態下和蘑菇武內崇他們談天說地，這叫腹黑？羞恥心只存在于作者不輕不淡的兩句話。不知道作者自己是個女裝癖愛好者還是故意惡趣味的搞一般向讀者，喜歡男主玩女裝的，可入。三觀和本人南轅北轍，看到60章直接棄了，毒草能吃，翔是真的下不去嘴。個人劇毒,negative
主角師姐被人殺死在主角床上，主角竟然說出這種說：“孟師姐，你好端端的死在了我的床上，這是怎麼回事呀！我倉鼠還沒還你呢！”-----------各位，你們說這種作者腦不腦殘，簡直是狗日的標準,negative
"【實子系列】本書原名<a href=""/name/重生之子承父液"" target='_blank'>《重生之子承父液》</a>，現已河蟹^_^：<br>上輩子有個渣爹，安溪想要子承父業卻被利用到骨灰渣渣。<br>這輩子還是那個渣爹，安溪當機立斷包袱都不要了直接逃。<br>發家致富奔小康，卻不料被子、承、父、液！",negative
本書主角是個徹底的黑心爛人，只是一開始不明顯而已。之前裝個風度翩翩到處勾搭姑娘，把女孩子勾動心了然後既不收也不拒絕，就讓她們傷心。中間利用身份哄騙一堆散修來說幫他們渡金丹劫，目的只是把其中一個人殺了把他的劍搶了。大約70%多到80%上下的時候，把穿越原身的姐姐強X了，然後哄騙她說給她機緣放她走。在她取機緣的時候把她殺了，用金手指強行收編成自己的守護靈……再怎麼叢林法則，再怎麼大道無礙，是人就要有底線。完全沒有底線的，是畜生，不是修真。,negative
"這書我沒看，只是看<a href=""/name/紈絝邪皇"" target='_blank'>《紈絝邪皇》</a>最後一章末尾的作者吐槽。身為作者，竟然讓讀者去創造新詞彙來“給我們用用”，還什麼“問題是漢語詞彙有限”。好大言不慚！明明是自己讀書不夠竟敢嫌棄書少！學識少可以理解、寫速食商業文不是錯、遇事習慣性推諉責任也是常人之情，但是，這番我文盲我有理的嘴臉令人生厭~所以，今後此作者的書，見一本黑一本！",negative
"怎麼能夠忘記你捏！西幻的設定，但是一個魔法師公會的會長，開口閉口就是""老子""""媽的""等一些不堪入耳的話，不懂這是一個怎樣神奇的世界。魔法師們一個個都像街頭混混一樣，可能作者認為魔法師就是這樣，以及這樣才有氣勢。除了主角，各個都智硬，都是沒眼光的傻逼。先是都各種看不起主角，然後被主角的身份驚呆，再跪舔，媽蛋世界上哪來那麼多對任何人都要歧視都要踩的傻逼？！推薦人們說是爽文，爽個蛋蛋！一樣的劇情來回個千百遍，中間再注水，為了打臉而打臉。",negative
這種漢奸，走狗作者，屁股歪到姥姥家了。5級有什麼用？寫了幾本白開水，這本新書沒人看了，撲街的不能再撲了，開始來龍空發表漢奸，走狗言論，搏些存在感，搏些眼球，噁心！,negative
主角是個作/四聲/貨。為了說過一句話的插班女，考大學也不能好好考了，讀書也不能好好讀了，工作不能好好幹了，結婚生孩子養家都不能正經過日子。。。。尼瑪就是個見過幾個月的女的啊！！！就是說過一句話的女的！！！！就是個都沒開頭的暗戀！！…用得著那麼作？？！<br>要這玩意正經的失戀不得特意去染愛滋病然後自爆呀！<br>然後，主角重生了，然後找了另外的女朋友！！尼瑪！！,negative
有個女的喜歡主角， 然後被人強JIAN了 於是主角就和強JIAN犯做朋友 要撮合強JIAN犯和前女友 要讓一個強姦犯來給被強姦者以幸福 MDZZ,negative
越寫越爛的作者中牧童肯定是其中的一個，貓膩是矯情到死，牧童是彆扭至死。現在想起來，還是三少好，哪怕是喂翔，人家也是從開始就喂，不合你口味，你還可以捂鼻跑開。牧童是花花綠綠的糖果紙包得嚴嚴實實，待你想瞧仔細些，哇靠，好大一坨！！！,negative
小牧童的新書，他的的書前期是仙草，中期是良草，後期是毒草。<br>每本書寫到後面都會寫崩，前期明明輕鬆愉快的風格，越往後寫各種黑暗重口味的情節就出來了。<br>想不到這本新書一開始就這麼重口，女協警在派出所裡被qj，主角就在隔壁，等到衣服被脫光，官二代褲子都脫了準備挺腰，主角才跳了出來。我還以為只是個配角，結果後面的情節看來，不是女一就是女二。<br>以前的書裡雖然有黑暗情節，但確是和情節有關聯，不能說作者什麼。<br>想不到新書更進一步。看來作者覺醒了。,negative
主角女友被人強姦了 ，於是主角就和強姦犯做朋友， 要撮合強姦犯和前女友 ，要讓一個強姦犯來給被強姦者以幸福。<br>？？？這作者腦子裡裝的是shi嗎？<br>同時高能預警一下，該傻嗶作者每本書都有極其噁心的綠帽情節 ，本本都是強暴，總之就是不寫強暴會死，尤其是某本書主角親妹妹被強暴後剝皮煮了吃的情節更是噁心的要死,negative
主角在聊天的時候，沒有任何遮掩的表示出自己的淡定，然後女主說你好淡定，非是一般的武者。主角表示大吃一驚，明明自己兩世為人，居然被一個小女孩一眼看出自己的淡定啥的。媽的，mdzz,negative
火星也是追了很久的作者了，但是不知道經歷了什麼，你個男頻小說你竟然把重點放在你的女性觀眾身上，貼吧那個女小吧瘋狂刪綠帽的帖子，然後私聊問候您全家，最牛批的是她們認為出軌是應該的！豐富了人生的經歷，我真是服了這群女權婊，求求你們做個人吧，別禍害那些女生了,negative
挖個坑，然後拉上一坨大便，順手把它捏成點心樣，等它風乾，聞不出什麼臭味來之後，再撒上一點砒霜，如此黃白相間，看起來似乎真有那麼點乾糧的樣子對不對？<br>等你吃了以後…<br>臥槽，這他媽好歹毒的心思！不僅喂屎，還在屎裡下毒！<br>永遠用龜頭代替人頭思考的傻逼主角(作者)，偏偏還要時時刻刻裝出一副“老子是一個有過去的，滄桑的，成熟男人”的淡定姿態，東施效顰！<br>天下大亂，群雄逐鹿的宏大場景能寫成兩三個江湖草莽的裝逼之旅，MDZZ!<br>說作者葷段子寫得不錯，看在裡番的份上，忍了！<br>但是！你以為閱文無數的本大爺看不出來你他媽抄襲？所謂的裡番就是把別人書裡的肉戲稍微改下名字，糊誰啊,negative
前面批判了本書，其他書友告訴我作者是新手後面越寫越好，本著負責的心態耐心看了下去（其實是書荒），現在特來更正一下，首先，前100多章的情節真的很雷很不合理文筆也不怎麼樣，但是作者進步很快，熬過前面我居然欲罷不能的一口氣看完了，因為河蟹太監現在還有點遺憾，拋開部分不合理這本書看的真的很爽，特別是攻略一個一個妹紙，h段子也是肉香四溢，雖然後期朱砂妹紙一個一個接連飛升很不爽，可能是作者急著結尾，結果還是在完本前河蟹了，可惜還有幾個妹紙沒拿下，作者現在也不寫書了，不得不說是個遺憾。如果你喜歡後宮把妹這類的爽文，可以試試這本書,negative
看了作者寫的書我對於裡面的設定簡直不敢苟同，幾個小小的學徒就能在有法師主持的法師塔里密謀如何反抗法師塔的主人，那這法師塔有個蛋用啊，連一環法術召喚出的隱形單位都不能探測，簡直史上最垃圾的法師塔，再說法師塔的主人，最為一個擁有法師塔的大法師，連一個小學徒放在自己身上的零環法術秘法印記都偵測不出來，簡直了,negative
全文亮點就‘復活貞子’這段，本來還想看看作者有沒有讓人出乎意料的腦洞，結果就是強行下毒，就圍著下半身轉了，寫了半天就是為了艸。緊接其後的副本聊齋毒點更多，比如分手強行刷鍋給前女友、貞子殺人是無意的是可以原諒、小倩作為姥姥幫兇就是不能原諒的，強行身世孤苦還要克死個孤兒院的小姐姐（看到這我就想不如讓主角這個賤人死球），自私自利為了自己坑死新人，殺女友，殺女友時還文青下，從女友臨死的眼神看出再也不見，人家除非腦殘臨死會想這句話？！估計最想說的就是後悔這輩子遇見你這個渣，主角就是自大加自私的色情狂的人渣，自己的手辦想艸，鬼也想艸，最不能忍連自己的坐騎也想艸，我就想問問這是有多饑渴！！！！！,negative
懷揣1000+大洋，父母雙亡。不上班，似乎想靠打遊戲做人生贏家，但是看了30W字麼有看見賺了一分錢，目前三餐靠速食麵，然後一個更窮的室友偶爾帶點油條，你是要鬧哪樣,negative
見過毒的現實劇情，沒見過這麼毒的。我的天呐，主角寄人籬下，因為沒有上交工資，被二叔二嬸踹門威脅，要打死主角，然後主角一邊哭一邊戴上了頭盔開始……玩！遊！戲！港真，作者你誠實說吧，你是資深網癮少年吧！劇毒！劇毒！劇毒！,negative
好好的重生網游爽文，作者非要往主角頭上加點綠，前世的事一筆帶過不就好了嗎，非要寫女主多麼愛男主，結果又因為現實不得不嫁給其他有錢醜男，好吧，現在重生文不帶點綠作者就不會寫，我忍了，結果後來，主角又叫女主去做網路主播，尼瑪，作者要是寫網路主播要是在未來已經是一個成熟的禁止賣肉的行業也就罷了，偏偏前面還有個以賣肉為主的3g組合，呵呵，女主在前世嫁給其他人不能讓作者你滿足，現在還要讓她給更多男人看，我也是服了，以前作者不寫女主，還能看，現在寫的什麼東西,negative
劇毒無比，各種人物跪舔主角，除了一個名字沒有一點原來人物的影子，主角親自下場各種世界搶商品，mdzz，開毛線店，征服多元宇宙不好？,negative
說創意這本也不是諸天商人流的開山之作，說文筆小學生水準，說劇情作者想像力不是一般的匱乏，最難以下嚥的是書裡各種同人只是套著相同名字的討食犬：想像一下視華山派為自己根本寧願丟棄一切底線的嶽不群眼巴巴的賣華山秘笈，隋煬帝腦子進水般的求助主角，作者有沒有瞭解過幫隋文帝打天下時的隋煬帝？看著這些披著原著皮的智障們跪舔主角，讓我不是一般的噁心，我是搞不懂為啥有人能給它打4星，分明是劇毒！,negative
我記憶最深的是前期來了個大佬，狠人大帝，她的心願你們應該都知道為了服了復活哥哥，拍自己的道果小囡囡進萬界樓，把吞天魔罐都給賣了……我能說什麼，反正雖然是隨機可能來任何人，但是來的絕對是敢在主角面前裝逼主角就能以更大的逼壓下去，在主角面前任何人都要保持恭敬，不管是什麼角色，入了萬界樓一段時間後就沒幾個能保留下風骨的，哪怕是最冷酷的劍修也要麼折斷要麼學會彎曲，哪怕仙神在他面前也只是凡人的模樣，下到人間皇帝，上到玉皇大帝，都能捨棄一身帝王威嚴，為了利益卑微屈膝。我看了這本書後，竟沒能看到其中有誰能保留自己的傲骨，最大的想法竟然是來幾個狠角色抽主角幾巴掌。我從不喜歡看虐主文，但是這書的主角真賊雞兒噁心,negative
這種小說只要寫到中期，最大問題就暴露出來，主角完全可有可無，沒有任何存在的價值，你把一條狗放那，給他設定該幹的事，也完全不影響劇情的推動與展開，無論是奇遇或是後宮或是爽點，跟主角一點關係沒有，完全就是在講其他作者寫的各個小說主角的故事，噁心的一批，主角一輩子的面癱，永遠的波瀾不驚，永遠的清心寡欲沒有任何欲望，噁心，呸,negative
作者超級奇葩，給你舉個栗子。比如說你要去西餐店，結果硬是給你上餃子，然後還和你強行解釋這個餃子是在他們西餐有多少年歷史的。在漫威裡不寫超能力之類的，就寫武俠，武功，行你喜歡可以，你去直接寫武俠小說行不行。為什麼我吃餃子非要上西餐店。大家想看漫威文就是想看超能力，大腦洞。根本不瞭解受眾想什麼，好沒完沒了的解釋武功系統是在漫威裡有由來的。,negative
打個比方，復仇者聯盟1的時候鋼鐵俠拯救了危在旦夕世界，要換成真實世界呢？鋼鐵俠拯救世界這事本就在55之間，畢竟電影世界有編劇導演的意志必定要一個圓滿美好的結局，但真實世界呢？誰能保證他一定成功？不成功的結果呢？世界末日，生在這樣一個世界主角居然渾渾噩噩想過普通人生活這是神經大條還是腦殘啊 ，真是世界充滿不確定性不會按照所謂的電影劇情演出，在這個毀滅邊緣的世界要麼瘋狂要麼死亡，你不是那些無限流的穿越者隨時可以提褲子走人，你是土著了啊,negative
主角很屌絲，就算是獲得了力量，靠力量吃飯了，還要強說自己不用力量。作者前期強行壓制主角混的慘，想弄出個不靠力量的主角。可是後來主角混的好，還不是靠力量。好像主角之前混的慘，是因為作者沒有開始寫作。作者一開始寫小說，主角才擺脫之前的慘，開始好點,negative
前面幾章還可以，越到後面越垃圾。簡單說吧，主角就是一個吊絲慫逼，還是跪舔任何NPC的那種。什麼男的女的，什麼組織什麼惡魔，只要是個NPC他就可以跪舔。太噁心了。本來給三星，現在降為一星。,negative
跪女嚴重，神盾局的兩個特工找上門來，主角一個超凡力量在手的人物，被凡人女特工給了一耳光，不僅不報復回去。主角還笑眯眯的套近乎當沒事發生。    <br>到了後面的雙子出場更是勸退感嚴重,negative
"抄襲<a href=""/name/仙界獨尊"" target='_blank'>《仙界獨尊》</a>，調色板見http://www.lkong.net/forum.php?mod=viewthread&amp;tid=1669329&amp;extra=%26page%3D1&amp;page=1",negative
複製被發現刪了就不是抄襲了。,negative
因為這個寫手的前作，我對於他的屁股抱有懷疑態度，而且，這個寫手總喜歡在文中摻一些很LOW的私貨，似乎讓人覺得，他對於社會的認知都是從小說裡學來的,negative
主角明明很輕易也很應當獲得某些利益。但是和神盾局的交往中，卻有點故意壓制主角。主角這麼牛逼人物，有的是人願意花錢養著。但是主角就是想不到或者不願意。然後神盾局出現，主角就好像幾輩子沒有見過錢，老是向神盾局討要錢。神盾局也好像根本不知道主角的能力有多麼牛逼，連點錢也不願意給。神盾局把那點可憐的錢當作世上最好的東西吊著主角，主角也甘願這麼跟著，偶爾也來點調皮。好噁心,negative
上竄下跳十幾年，所有劇情照常發生，這很同人,negative
新章真的噁心，我可以接受主角貪財，但絕不接受主角為錢喪失尊嚴,negative
“聽著，死局幫派人找我麻煩，我殺了他們。這點你們沒有追究，算我欠你們一個人情。,negative
補充評價一下，一個修仙門派大多數弟子蠅營狗苟，作為執法的天刑堂弟子長袖善舞、極善鑽營、籠絡了不少人心……對於這樣的門派，我也想問一句，怎麼還不滅門？,negative
如果主角有超人的實力，就算他對人跪下，然後舔他的鞋，舔他屁眼，最後，猛然一巴掌把對方拍成餅子，然後自言自語：“怎麼怎麼和老子的味道不一樣，草！浪費老子心情。”   這時候我也許會覺得這神經病患者有個性，我還會看下去的。然而主角只是個螻蟻都不如的弱雞，卻到BUG滿天飛的漫威裡到處裝逼，卻又裝成傻逼，然後所有人又配合他裝。。。我說不下去了。。。,negative
在漫威世界 練功啊？開局就一口猛毒，看不下去<br>現在中國式練功真是無孔不入啊，宇宙要練功，都市要練功 異界還是練功<br>到了動漫裡依然練功。真特麼噁心 <br>有些人吼啊，漫威世界本來就有內功啊！<br>不知道作者從哪找來的幾十年前的漫威設定，強行解釋練功問題。<br>但是大家印象中的漫威是什麼，超能力高科技，這才是爽點。<br>作者不寫這些，強行寫練功，為何？<br>君不見榜單上大部分都是練功修仙麼，所以作者也往上靠咯<br>反正又不期待賺我們這些不喜歡看練功修仙非主流的小錢。,negative
主角除了蜜汁自信之外，還陽痿。,negative
主角被作者設定成了傻逼，第七章主角在大街上發現一個穿越者，然後穿越者在大街上對抗官府，主角二話不說上去就是幫忙。這是什麼腦子？？？好比在美國紐約大街碰到一個陌生華人拒捕，然後二話不說就沖上去對抗員警？？？這這這…這是精神病院出來的吧,negative
看到第八章，主角作為真仙，往地面一滾，躲過致命一擊，真仙之間的打鬥是這樣的，你覺得還能看？,negative
弱智流主角，每次都有幾個人密謀幹掉主角並付諸行動，主角爆種反殺，然後這幾個人發誓再不打主角的主意，主角放過這幾人。下次這幾人又來刺殺主角，主角再放過，這樣的主角不死沒天理啊。,negative
這作者喜歡虐主是出了名的，上本書主角裝逼不成被人開腸破肚腸子流了一地，這本書又給主角強行製造困難，每個世界的魔法都不一樣，主角都需要重新適應，在這期間主角就是菜雞，任人欺負。一旦適應了也可有辦法，從來都沒見過魔法的麻瓜都能研究出讓主角魔力全失的毒藥，嗯給主角喝下，又可以開心的欺負主角了。<br>真好奇寫了那麼多書，一點進步也沒有，這是一種什麼樣天賦？,negative
三章離不開女人，上本這樣，這本還是這樣，上本好歹開始還矜持一下，這本直接沒兩章就來了，沒女人你會死嗎？這麼喜歡女人乾脆去寫小黃文好了。這作者的書以後一律毒草。,negative
我不知道你一個中國穿越者是怎麼不識漢字不會漢語的？因為你穿成了日本人？<br>ps：中後期主角明確說明自己不會漢語、漢字，這是原文： 失策了剛剛不應該說日語的…… <br>零觀咋了下舌，不過話說，我似乎也不會說其他國家的語言啊，鬱悶！,negative
我不知道你一個中國穿越者是怎麼不識漢字不會漢語的？因為你穿成了日本人？<br>ps：中後期主角明確說明自己不會漢語、漢字 <br>這是原文： 失策了剛剛不應該說日語的……<br>零觀咋了下舌，不過話說，我似乎也不會說其他國家的語言啊，鬱悶！,negative
重生成日本人，68章女主在人群中變大，上下盡露，後面還脫光衣服和黃毛濕吻。這書居然寫了幾百萬字，真是6666666.,negative
有一個女蠻子向主角挑戰，主角拒絕了。怎麼拒絕的呢？我絕對不跟你打，如果你實在要打我不還手。這一段太噁心人了。如果不想和她打的話，應該說我不想和你打，你敢動手我就宰了你這樣才對。打不還手太毒了，棄書。,negative
後期是垃圾，而且三觀不正。,negative
劇毒無比，毒死我了…………這是我最近半年來看過的最毒的書…………不管是合理性還是內容都毒的我死去活來,negative
自稱重生人士的弱智寫的意淫小說，現實中不知道是不是家裡人跟小說一樣被官二代強姦做成肉便器了，一股子憤世嫉俗卻又毫無大腦的樣子、,negative
劇毒虐文，簡直腦子有屎！,negative
這本書是作者寫來報復社會的，滿滿的負能量在文字中簡直要溢出來，我被噁心壞了，我看書是想尋找點簡單快樂來輕鬆下的，這本絕對讓你分分鐘心情變差！上面竟然還有評說這書配角智商線上，我實在是無語！我還是去看小白文吧！這智商沒法言說！,negative
廢話太多，自嗨嚴重，狗屁不通。日本戰國的士兵身高平均能到接近一米七，鬼子自己都不會信。廢話多的嚴重影響閱讀體驗，屁大個點能注水一章，這本書能火，說明這類書真是一群矬子。,negative
最開始我真的很喜歡，特別是到了武俠的世界裡，女主得到了武功，創建了門派，我感覺這樣的女主有大女主的傾向，她的精神世界自由無比。可是後期簡直是劇毒，自從有了四爺（雍正），女主就完全戀愛腦了，致力於當好站在男人背後的傳統意義上的好女人，？？？？而且最毒最毒的是，在穿越的世界裡孝順撿來的父母，真正生養自己的父母卻被女主角拋在了原世界，你所謂的“孝道”呢？家長里短數不盡，極品親戚歡聚一堂，作者仿佛跟你掏心窩子說話的語氣看多了是在噁心！！！噁心！！！有時候發現，你喜歡的文最好不要太長，因為他們到了後期完全變成了作者向你吐出自己嚼出的人生感悟的階段！！！,negative
嘔——作者吃相難看。能堅持著寫這麼低智的小說也不容易。,negative
莫名其妙的四爺成了男主，之後女主就成了附屬品，後面全是劇毒劇毒劇毒！！！！！女主只是男主的金手指，什麼事情都是男主做，女主一切都順從男主。讓人感覺這篇文章浪費時間,negative
耽美。這本書很多人推，但是對我來說真的是劇毒，主角穿越到一個亡國之君的身上，一來就十分主動的在城門當著自己大軍的面給叛賊之首也就是開國新君，下跪還奉上玉璽，簡直讓我想穿進書裡幹掉他。奴顏婢膝，苟延殘喘，苟且偷生，關鍵亡國之君再混蛋，總有幾個好祖宗吧，感覺連祖宗的臉都丟盡了！！！又怎麼對得起到最後時刻還沒有背叛的大軍？？？你他媽要是個勾踐就算了，狗都沒他忠心，畢竟是要和開國新君談戀愛的戀愛腦呢。吐。,negative
女頻是真的玻璃心。本來懶得點進來打分的，非得撕到熱評第一讓我看見，說一句就拉黑，不得不說這推書我給10分。,negative
主角要做獨立動畫，日式2d動畫工作量很大，決定做3d動畫，但是沒有3d軟體，決定自己編個瑪雅，然後自己做3d動畫。我真心給跪了。作者這到底是有多瞧不起程式設計和3d動畫啊。從程式設計，到程式完成，修復bug，運用程式，原畫，3d建模，逐幀k動作，特效，音效，後期剪輯——所有的，主角一人搞定。這和在石器時代徒手擼出戰列艦也沒什麼區別了。,negative
